T: Protein IDs	FF_W2_1	FF_W2_2	FF_W2_3	FF_W2_5	FF_W2_6	FF_W2_7	FF_W2_8	FFPE_W2_1	FFPE_W2_2	FFPE_W2_3	FFPE_W2_5	FFPE_W2_6	FFPE_W2_7	FFPE_W2_8	FFPE_E878	FFPE__872	FFPE__875	FFPE__876	FFPE__877	FFPE__879	GS50	GS51	GS52	GS53	GS54
Q9CQZ1	-0.76646	-0.698463	-0.899865	-0.767761	-1.62895	-1.20632	-0.893996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.34022	1.98696	-1.18657	1.68321	0.864199	NaN	-0.446965	0.401809	1.24287	0.315362	0.660718
Q9CQZ5	1.17778	0.255492	0.0945712	1.17652	0.709107	1.96706	0.371764	1.41283	-0.326703	-1.15755	-0.648787	0.494023	1.66556	-2.63429	-1.68866	NaN	NaN	NaN	-1.5019	NaN	-0.171716	-0.918279	-0.080306	0.389117	-0.544635
Q9CQZ6	1.305	0.618853	0.354132	1.17884	0.49181	1.05184	0.322393	-1.20451	NaN	-1.58587	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.779276	-0.64448	0.129921	-0.27434	-0.473566
Q9CR00	-0.448008	0.282873	-0.245745	-0.224099	0.202621	-0.762707	-0.215512	0.0106767	0.459524	-1.08498	-0.375258	0.166942	-0.25195	-0.4217	0.647794	0.0704874	0.928247	0.46037	0.277156	0.0379804	0.516467	0.596513	0.895011	0.177898	-0.0103861
Q9CR09	-0.0901135	-0.271384	0.0240089	0.109342	0.272246	-0.404796	0.322951	-0.162927	0.0793697	-0.217803	-0.35315	0.167066	0.106071	-0.50742	0.396056	0.129405	0.39397	-0.0476121	0.0692016	-0.28134	0.159619	0.0460922	0.574754	0.468761	-0.516364
Q9CR16	0.338749	0.922468	0.558846	0.613249	0.0573293	0.371769	0.564415	-0.635733	-0.551878	-0.0801295	-1.01686	-0.597834	-0.995224	-0.470669	-0.993593	-0.533676	-0.996397	-1.01816	-1.33572	-1.24978	1.91967	1.77773	1.38246	1.34672	0.818964
Q9CR21	1.83804	1.91639	1.75457	1.55658	-0.442792	1.46479	1.58777	-1.42335	NaN	-0.91051	-0.786662	-2.24947	-1.82606	-1.09038	-0.584695	NaN	-1.63303	NaN	-0.576796	-1.5443	0.625125	1.01931	1.59939	0.202403	1.45644
Q9CR26	0.495379	0.797831	0.595475	0.747455	0.00914085	0.23239	0.884452	-0.926555	-0.986964	-0.71774	-0.88351	-0.922055	-0.809438	-0.813602	-0.299264	0.0935448	0.306374	-0.195384	-0.398038	0.22989	0.905246	0.646411	0.50277	0.630544	0.214805
Q9CR41	0.0206423	0.932012	0.761874	0.395726	0.670907	-0.239118	0.776786	NaN	-1.03096	-1.19095	-0.538621	-0.462491	NaN	-1.23584	1.5082	0.748199	0.996129	0.851459	0.848962	0.210475	-0.33335	-0.0676985	-0.914002	-1.51879	NaN
Q9CR51	0.111397	0.473518	0.313024	-0.199225	0.642046	-0.0596125	0.257515	-0.166773	-0.268008	-0.982573	-0.412766	-0.444329	0.243269	-0.87381	0.494463	0.852058	0.335785	-1.67764	0.744243	0.610113	-0.4667	-0.0431902	0.744257	-0.319153	0.302601
Q9CR57	0.310451	1.03249	1.06889	0.948623	1.01922	0.232366	1.07034	-1.25372	-0.268132	0.743146	0.0591063	-0.09236	-1.56413	0.535509	-1.16519	0.308671	-1.79943	0.141208	-1.73434	-2.15089	0.752727	1.05215	0.513324	0.6007	0.186874
Q9CR59	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9CR61	0.00969404	-0.112977	NaN	0.107676	-0.0673609	0.400102	-0.110837	0.857156	-0.698962	-0.537799	-0.186078	-0.72655	1.05354	-1.07645	0.0488786	-0.667983	0.14737	-0.447278	0.145923	-0.222711	0.244267	0.324983	0.359981	0.976548	0.929091
Q9CR62	0.98241	0.668499	0.868063	1.0537	0.612736	1.66841	0.510269	-0.389988	NaN	-0.862461	-0.661261	-1.80193	-0.761791	-2.19603	NaN	NaN	NaN	NaN	NaN	NaN	0.305344	0.0629615	-0.182814	0.702179	0.0813788
Q9CR67	-0.702986	-0.365009	-0.414957	-0.208345	-1.24413	-0.0887812	-0.311935	NaN	NaN	0.396399	0.262943	NaN	NaN	-0.731659	-0.902695	0.759371	NaN	-1.16971	NaN	NaN	1.3042	1.03732	0.872234	1.48454	0.186978
Q9CR68	0.799057	0.704393	0.563208	0.854746	0.425926	1.27969	0.58482	0.234324	-0.912594	-0.2474	0.261757	-0.486063	0.088913	-1.01438	0.365145	-1.026	-0.442938	-0.936993	0.371981	-0.0292969	-0.418392	-0.627131	-0.220291	0.0785694	-0.224497
Q9CR70	0.230796	0.515327	-0.29692	0.522485	0.455474	-0.997149	0.343728	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.298524	-0.377648	NaN	-0.148932	NaN	-0.545686	NaN	NaN	NaN	NaN	NaN
Q9CR83	-0.781589	-0.795383	0.612197	0.251446	-0.375333	-1.39524	-0.0272858	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9CR86	-0.914118	0.833742	0.698282	0.639625	0.169126	-0.774576	0.8454	-1.30092	NaN	-0.847159	-0.675287	NaN	-1.28057	-0.900129	0.932295	1.25371	0.0991191	1.67187	-0.0615484	-1.22497	0.6835	1.33134	0.681686	-0.0071317	-0.59948
Q9CR95	1.19645	0.876645	0.719592	0.826549	1.41697	1.37789	0.722207	0.166759	NaN	-0.960015	-0.0489014	-1.54742	0.212236	NaN	-0.55712	-0.777947	-2.13648	-1.86127	-0.747252	-1.34698	-0.506537	-0.334149	0.877279	0.867429	1.02965
Q9CR98	-0.15986	0.834573	-0.194474	0.0949183	-0.0213518	-0.99083	0.0063982	-0.0403128	NaN	-1.11478	-0.971807	-0.58067	-0.38915	NaN	0.714835	0.429395	NaN	0.292985	0.878942	0.335515	NaN	0.194953	0.660901	0.0642824	-0.0444613
Q9CRA7	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9CRB2	-1.00258	1.72296	0.768095	1.18052	0.779692	-0.699291	1.08994	NaN	NaN	-1.13262	-0.761066	-0.404438	NaN	-0.989368	NaN	NaN	NaN	NaN	NaN	NaN	0.976135	0.78393	-0.430964	-0.2987	-1.23376
Q9CRB6	0.55037	0.85347	0.645605	0.882265	0.146672	0.366282	0.226857	-0.201954	-1.0252	-0.33086	1.09448	-0.89759	0.0236877	-0.898513	-0.212114	-0.207794	-0.114404	-0.561798	-0.525844	-0.546125	-0.421259	-0.421646	0.560294	-0.227571	0.893999
Q9CRB9	1.23311	1.3106	1.30706	1.16587	1.28182	1.04865	1.3971	0.751081	-0.512476	-0.0265046	0.530344	0.357035	0.418283	-0.181618	-2.50362	-2.77742	-2.69688	-3.02609	-2.86826	-2.83956	1.21752	1.04718	1.58589	1.05722	0.831123
Q9CRC0	-0.836169	0.433011	0.291612	0.269355	-0.205092	-0.945344	-0.026372	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.768884	NaN	NaN	0.0431128	NaN
Q9CRC8	-0.359762	0.227116	0.297726	-0.105636	-0.10289	-0.536779	-0.4391	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.614344	0.51414	-0.380001	-0.666051	NaN
Q9CRC9	-0.0744088	0.335553	0.240403	0.421639	NaN	-0.088033	-0.835153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9CRD0	0.684558	0.649003	0.647164	1.09027	0.917002	1.40753	0.291342	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.995382	-0.911218	-0.551778	-0.778467	-1.28066
Q9CRD2	1.23681	0.814806	0.75412	1.31075	0.526993	1.13187	0.683733	0.0986173	-1.17157	-0.252333	-0.252648	0.0210035	-0.147871	-0.196245	-0.782213	-0.942101	-2.06873	-1.12984	-2.00739	-2.29788	1.61603	0.646377	1.11344	1.40466	0.68244
Q9CRD4	-0.626104	0.259037	NaN	-0.880026	NaN	-1.01856	-0.701895	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.45006	1.5396	NaN	NaN	0.6905	0.216673	NaN	-0.341295	0.742617	NaN	-1.33061
Q9CRY7	0.622344	0.508059	0.37925	0.417027	0.559403	1.02864	0.232693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.594547	-1.15357	-0.427459	-0.483358	-0.626041
Q9CS42	-0.55805	-0.157484	-0.101169	0.387909	0.98511	-0.438377	-0.117939	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
"Q9CS84;P0DI97"	0.640668	-0.123095	0.740798	0.0680211	-0.131377	0.244508	-0.689519	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.64643	-1.72253	0.876994	-0.29156	2.03352
Q9CSH3	NaN	0.0588799	-0.0534706	-0.150364	-0.366638	NaN	-0.420168	-1.14966	NaN	-0.666609	-0.782961	-0.317356	NaN	-0.297066	NaN	NaN	-0.0211601	NaN	NaN	NaN	1.83006	1.99199	1.00868	NaN	NaN
Q9CSN1	1.27253	1.95431	1.47665	1.25755	1.50357	0.00215127	1.82149	-0.557848	0.599987	-0.250147	-0.301893	0.432836	-0.797304	-0.104408	-2.35112	-1.29975	-2.3044	-2.39177	NaN	-3.04772	1.00846	1.54491	1.35781	0.351709	-0.165339
Q9CSU0	NaN	0.0946368	-0.462891	-1.12926	-0.705805	-1.25575	-0.22323	0.0212497	0.502249	-0.0329725	0.173965	0.351004	-0.853773	0.460987	-1.10872	-0.644978	NaN	NaN	NaN	NaN	1.08988	1.58561	0.425083	1.20674	0.248182
Q9CT10	-0.395061	0.701327	-0.0186759	0.0210541	0.280225	-0.850028	0.283618	-0.796764	-0.185981	-0.894296	-1.06581	-0.160297	-0.800855	-1.1099	0.0416116	0.3044	0.828339	0.434213	0.132794	-0.0991336	1.05972	1.3664	1.07231	0.746833	0.0691499
Q9CU62	-0.556792	0.0283847	-0.38711	-0.751294	-0.216927	-2.39925	0.269014	-0.983954	1.00342	-0.338252	-0.42035	1.60762	-1.62615	0.473735	NaN	NaN	NaN	NaN	NaN	NaN	2.25718	2.24243	0.918466	1.47635	-1.13204
Q9CVB6	1.22983	0.901205	0.547346	0.865835	0.0824221	0.816383	0.541551	NaN	NaN	-1.75215	-2.40151	NaN	NaN	-2.51565	-1.52933	-1.06091	NaN	-1.16622	NaN	NaN	0.995294	0.876821	1.33132	1.17817	1.14449
Q9CW03	-1.07719	0.131294	-0.997053	-0.872206	-0.633369	-1.55698	-0.192818	-1.65705	1.006	-0.378118	0.159975	1.61062	-1.63171	1.11086	NaN	NaN	NaN	NaN	NaN	NaN	2.96015	2.41934	1.37049	1.85933	0.142883
Q9CW46	NaN	-0.203874	-1.12574	-0.706468	-0.698761	NaN	-0.496782	NaN	0.290511	1.04501	0.434283	0.965968	NaN	1.25825	NaN	NaN	NaN	NaN	NaN	NaN	0.824492	1.42714	-1.11952	NaN	-2.97153
Q9CWE0	NaN	NaN	NaN	NaN	NaN	NaN	-0.326399	0.00382388	NaN	0.102277	NaN	NaN	-0.147307	NaN	-0.330841	-0.532055	NaN	-0.300799	-0.396511	-0.578919	0.418262	0.442699	0.884906	0.725814	0.255069
Q9CWF2	0.26968	-0.114897	0.0784893	0.237522	0.384863	0.426466	-0.0653992	0.105263	-1.36781	-0.837677	-0.555313	-0.411297	0.281321	-1.57471	1.73957	0.0296993	-0.214632	-0.00101852	1.00428	0.705521	-0.50577	-0.279083	0.504429	0.57612	0.753845
Q9CWI3	-0.698195	0.948133	0.399856	0.693491	-0.00360346	NaN	1.3547	-0.373711	-0.342871	-0.477511	-0.848139	-0.338091	-0.730814	-0.361363	-0.64766	-0.0996976	0.206018	-0.179854	-0.981926	-0.248202	1.77969	1.59009	0.395246	0.30414	-0.87794
Q9CWJ9	-0.183398	0.984785	0.676528	0.776227	1.00365	-0.168515	0.731233	-0.93084	0.0742488	0.082355	-0.250798	0.542293	-1.09031	0.295015	-0.751978	-0.176806	-0.568295	-0.405413	-1.3215	-1.40234	0.985006	1.10059	0.169775	0.222379	-0.163525
Q9CWK3	-1.78361	0.511774	-0.299287	-0.321788	-0.0198666	-1.82324	0.0646404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.10393	1.20628	0.969872	0.466921	-0.0756222
Q9CWK8	-0.0414773	-0.277792	-0.258648	0.0042666	-0.123621	-0.355099	-0.489803	-0.551609	-0.548361	0.0857028	-0.20294	-0.127402	-0.702532	-0.606451	0.405243	0.85302	0.656601	-0.0531694	-1.03712	0.250995	1.50566	1.23042	0.655418	0.98484	0.214952
Q9CWL8	NaN	-1.45493	NaN	-1.3454	NaN	NaN	-1.19	0.487624	1.11779	0.0496628	-0.252698	1.3237	0.242921	0.43587	NaN	NaN	NaN	NaN	NaN	NaN	1.78046	0.976959	-0.58375	0.400184	-2.0813
Q9CWM4	-0.747797	0.0292535	-0.367687	-0.577932	-0.221027	-1.39958	-0.19876	-0.588085	0.276446	-0.371423	-0.26721	0.177561	-0.671514	-0.00906703	0.585759	0.215441	0.889676	0.525759	0.570048	0.172883	0.913966	0.737872	0.625828	0.351254	0.189395
Q9CWN7	NaN	0.0244884	0.256498	NaN	0.291998	-0.396158	0.371023	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.371803	NaN	-0.681831	-0.237822	NaN
Q9CWS0	1.06043	0.311954	0.454801	0.431333	0.252957	0.974692	0.354312	0.138526	-2.27312	-0.942536	-0.53439	-1.69605	-0.460158	-2.05103	0.785956	0.0452299	-0.0203295	-0.299722	0.860101	0.513055	0.481061	0.282355	0.93455	1.17633	0.585402
Q9CWU9	NaN	-0.254202	-0.20986	NaN	0.0342023	NaN	-0.0787642	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.36128	0.693708	-0.640373	0.0940092	NaN
Q9CWW6	-1.01512	0.620412	-0.0471061	-0.364514	0.869341	-0.570307	0.930893	-0.164629	0.321741	-1.21644	NaN	0.308757	-1.05076	-0.726319	NaN	NaN	NaN	NaN	NaN	NaN	0.816702	0.921241	0.583131	0.0815159	NaN
Q9CWZ3	-0.694931	0.0876695	-0.107735	-0.325964	-0.45764	-1.08487	0.0224248	-0.381241	-0.0303153	0.101608	-0.127174	0.694887	-0.548246	0.351212	0.11833	0.193131	0.895481	0.13879	0.20681	-0.0537432	0.995266	1.2924	0.731094	0.475016	-0.821903
Q9CWZ7	1.7721	0.246083	1.044	0.828629	0.717833	1.8115	0.783587	-0.0565732	NaN	-0.865308	-0.319841	-1.49704	0.20278	NaN	-1.29558	-3.26773	NaN	-2.1804	-2.05183	-1.81618	0.502785	0.491727	1.97676	1.72139	2.18441
Q9CX00	-0.327977	0.253824	0.322746	-0.292426	-0.141251	0.0790838	0.106	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9CX13	NaN	-0.00258386	NaN	-0.310073	NaN	NaN	-0.40632	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.29119	NaN	NaN	0.268427	NaN
Q9CX30	0.134654	-0.263225	0.354615	NaN	0.249051	0.109033	-0.0566493	0.21724	NaN	0.0127457	0.0626935	-0.235746	NaN	-0.243764	NaN	0.454226	-0.794875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
